gen,may_20,jun_20,jul_20,aug_20,sep_20,may_21,jun_21,jul_21,aug_21,sep_21,jun_22,jul_22,aug_22,sep_22,may_23,jun_23,jul_23,aug_23
250,0.633,0.624,0.603,0.384,0.061,0.52,0.111,0.298,0.33,0.077,0.769,0.293,0.125,0.461,0.817,0.21,0.251,0.153
251,0.648,0.808,0.455,0.453,0.116,0.41,0.133,0.25,0.3,0.053,0.588,0.384,0.229,0.45,0.615,0.277,0.09,0.096
252,0.911,0.831,0.573,0.592,0.115,0.529,0.148,0.367,0.309,0.093,0.87,0.332,0.125,0.375,0.816,0.209,0.202,0.143
253,0.415,0.469,0.409,0.362,0.058,0.202,0.089,0.136,0.179,0.051,0.391,0.228,0.13,0.245,0.452,0.141,0.15,0.153
255,0.446,0.396,0.276,0.269,0.046,0.203,0.09,0.138,0.18,0.064,0.26,0.208,0.038,0.233,0.589,0.196,0.147,0.05
257,0.775,0.742,0.469,0.395,0.155,0.435,0.127,0.339,0.253,0.084,0.745,0.362,0.116,0.396,0.825,0.262,0.171,0.123
258,0.583,0.603,0.638,0.543,0.068,0.504,0.142,0.349,0.357,0.113,0.465,0.453,0.147,0.437,0.703,0.243,0.228,0.139
262,0.537,0.681,0.628,0.337,0.132,0.401,0.164,0.453,0.41,0.207,0.947,0.575,0.271,0.608,0.53,0.296,0.232,0.143
263,0.477,0.496,0.39,0.326,0.097,0.233,0.073,0.186,0.224,0.076,0.577,0.206,0.122,0.254,0.5,0.192,0.138,0.158
264,0.599,0.632,0.568,0.415,0.08,0.421,0.151,0.244,0.353,0.062,0.823,0.384,0.192,0.368,0.51,0.222,0.099,0.228
265,0.723,0.769,0.768,0.479,0.097,0.529,0.145,0.381,0.29,0.082,1.03,0.498,0.195,0.449,0.846,0.349,0.323,0.203
266,0.735,0.551,0.419,0.465,0.139,0.485,0.127,0.331,0.307,0.074,0.789,0.39,0.129,0.292,0.754,0.214,0.132,0.159
267,0.717,0.791,0.459,0.386,0.098,0.576,0.141,0.329,0.407,0.069,0.743,0.489,0.205,0.459,1.069,0.312,0.147,0.102
268,0.837,0.536,0.47,0.395,0.076,0.655,0.141,0.441,0.238,0.125,0.547,0.541,0.209,0.388,1.141,0.336,0.249,0.118
269,0.82,0.801,0.634,0.544,0.082,0.598,0.216,0.341,0.403,0.11,0.746,0.551,0.2,0.36,0.81,0.237,0.214,0.128
271,1.036,2.238,1.251,0.672,0.321,0.731,0.28,0.542,0.574,NA,0.878,0.481,0.205,0.347,0.82,0.371,0.289,0.335
272,0.525,0.628,0.747,0.404,0.088,0.476,0.17,0.294,0.226,0.055,0.749,0.405,0.281,0.356,0.883,0.333,0.308,0.058
273,0.663,0.748,0.606,0.355,0.085,0.479,0.156,0.306,0.459,0.077,0.679,0.357,0.12,0.327,0.732,0.186,0.183,0.088
274,0.677,0.898,0.592,0.717,0.214,0.733,0.244,0.424,0.311,0.147,1.092,1.055,0.406,0.716,1.486,0.528,0.423,0.246
275,0.951,1.733,0.894,0.438,0.074,0.634,0.221,0.456,0.519,0.151,0.744,0.431,0.246,0.681,0.611,0.237,0.256,0.092
280,0.673,0.68,0.547,0.405,0.083,0.416,0.105,0.246,0.266,0.095,0.438,0.317,0.136,0.281,0.623,0.197,0.191,0.111
282,0.604,0.796,0.558,0.548,0.094,0.443,0.159,0.278,0.303,0.075,0.686,0.46,0.149,0.415,0.756,0.411,0.238,0.092
284,0.626,0.697,0.278,0.406,0.079,0.391,0.158,0.354,0.326,0.036,0.476,0.389,0.175,0.378,0.764,0.201,0.191,0.098
285,0.661,0.752,0.516,0.462,0.1,0.459,0.165,0.258,0.287,0.116,0.621,0.288,0.194,0.241,0.556,0.333,0.202,0.112
286,0.643,0.666,0.722,0.434,0.177,0.274,0.132,0.259,0.179,0.069,0.824,0.359,0.163,0.425,0.81,0.323,0.311,0.285
287,0.58,0.632,0.381,0.41,0.112,0.369,0.111,0.261,0.272,0.092,0.562,0.352,0.192,0.368,0.615,0.257,0.23,0.103
288,0.654,0.643,0.467,0.296,0.072,0.442,0.081,0.176,0.234,0.058,0.464,0.482,0.219,0.365,0.954,0.165,0.244,0.142
291,0.539,0.471,0.506,0.301,0.074,0.278,0.082,0.174,0.251,0.042,0.492,0.257,0.138,0.27,0.651,0.21,0.159,0.129
295,0.92,0.807,0.838,0.504,0.156,0.362,0.123,0.238,0.343,0.106,1.356,0.468,0.131,0.391,0.841,0.24,0.128,0.348
296,0.691,0.524,0.618,0.336,0.076,0.183,0.054,0.218,0.215,0.039,0.415,0.291,0.107,0.187,0.588,0.207,0.218,0.107
297,0.551,0.648,0.505,0.436,0.146,0.575,0.223,0.323,0.353,0.159,1.095,0.408,0.213,0.405,0.951,0.263,0.226,0.346
298,0.802,0.678,0.582,0.357,0.095,0.454,0.103,0.283,0.304,0.098,0.603,0.354,0.212,0.315,0.598,0.245,0.314,0.17
299,0.547,0.557,0.478,0.279,0.121,0.321,0.117,0.228,0.241,0.041,0.473,0.31,0.136,0.245,0.58,0.223,0.162,0.192
300,0.645,0.464,0.531,0.406,0.076,0.535,0.191,0.219,0.27,0.075,0.513,0.501,0.258,0.345,0.86,0.41,0.312,0.214
302,0.635,0.707,0.563,0.462,0.096,0.49,0.125,0.271,0.317,0.079,0.775,0.497,0.196,0.291,0.818,0.224,0.22,0.187
303,0.59,0.689,0.581,0.27,0.101,0.403,0.173,0.289,0.243,0.08,0.479,0.264,0.147,0.325,0.643,0.207,0.171,0.204
304,0.762,0.544,0.619,0.419,0.124,0.525,0.146,0.257,0.281,0.071,0.655,0.421,0.174,0.372,0.664,0.143,0.122,0.154
305,0.749,0.821,0.445,0.48,0.125,0.525,0.148,0.303,0.309,0.14,0.881,0.466,0.247,0.474,0.898,0.387,0.334,0.113
306,0.713,0.678,0.475,0.357,0.096,0.38,0.098,0.251,0.373,0.108,0.6,0.437,0.153,0.368,0.739,0.191,0.155,0.134
307,0.65,0.69,0.426,0.34,0.045,0.471,0.104,0.21,0.238,0.068,0.36,0.325,0.218,0.364,0.646,0.182,0.177,0.11
308,0.692,0.619,0.393,0.406,0.087,0.458,0.153,0.28,0.25,0.132,0.556,0.431,0.161,0.347,0.71,0.201,0.14,0.169
309,0.633,0.601,0.587,0.407,0.095,0.537,0.138,0.304,0.275,0.134,0.463,0.373,0.22,0.399,0.734,0.243,0.191,0.158
311,0.473,0.467,0.404,0.441,0.116,0.367,0.122,0.263,0.282,0.027,0.555,0.437,0.204,0.309,0.628,0.291,0.269,0.168
312,0.726,0.552,0.505,0.329,0.057,0.392,0.179,0.24,0.201,0.076,0.378,0.227,0.142,0.325,0.798,0.184,0.193,0.074
314,0.565,0.57,0.514,0.302,0.043,0.368,0.097,0.212,0.214,0.038,0.601,0.299,0.126,0.231,0.564,0.167,0.136,0.128
315,0.576,0.575,0.38,0.306,0.128,0.292,0.02,0.33,0.311,0.12,0.532,0.293,0.176,0.237,0.477,0.189,0.256,0.129
316,0.923,0.562,0.477,0.365,0.116,0.503,0.138,0.329,0.381,0.1,0.585,0.446,0.175,0.433,0.731,0.297,0.27,0.143
318,0.703,0.707,0.56,0.314,0.086,0.402,0.154,0.29,0.34,0.067,0.896,0.372,0.183,0.373,0.718,0.23,0.211,0.146
319,0.78,0.723,0.611,0.36,0.068,0.355,0.127,0.296,0.324,0.083,0.434,0.415,0.202,0.344,0.656,0.218,0.176,0.085
320,0.571,0.597,0.575,0.409,0.079,0.45,0.202,0.335,0.346,0.052,0.6,0.441,0.168,0.404,0.821,0.21,0.201,0.204
321,0.81,0.701,0.502,0.347,0.106,0.431,0.132,0.207,0.224,0.073,0.702,0.364,0.151,0.386,0.655,0.221,0.21,0.157
322,0.623,0.532,0.511,0.322,0.114,0.459,0.154,0.238,0.258,0.095,0.843,0.425,0.118,0.375,0.821,0.182,0.233,0.123
324,0.768,0.506,0.454,0.423,0.083,0.439,0.123,0.197,0.208,0.086,0.741,0.333,0.151,0.373,0.704,0.23,0.203,0.117
325,0.656,0.579,0.515,0.392,0.101,0.369,0.151,0.284,0.254,0.068,0.288,0.321,0.237,0.437,0.639,0.23,0.185,0.088
326,0.446,0.542,0.435,0.342,0.089,0.263,0.124,0.219,0.157,0.059,0.422,0.238,0.013,0.243,0.542,0.123,0.111,0.108
327,0.582,0.558,0.49,0.365,0.109,0.553,0.091,0.201,0.229,0.11,0.393,0.325,0.152,0.344,0.739,0.182,0.204,0.117
328,0.833,0.669,0.625,0.402,0.089,0.424,0.104,0.239,0.22,0.159,0.691,0.456,0.206,0.391,0.8,0.288,0.196,0.157
330,0.51,0.512,0.311,0.296,0.087,0.337,0.127,0.176,0.212,0.067,0.461,0.245,0.097,0.166,0.402,0.092,0.164,0.124
331,0.624,0.591,0.427,0.407,0.082,0.411,0.12,0.234,0.195,0.09,0.579,0.344,0.118,0.384,0.764,0.236,0.136,0.088
332,0.724,0.717,0.528,0.344,0.112,0.384,0.118,0.267,0.252,0.066,0.484,0.304,0.131,0.298,0.6,0.213,0.29,0.169
333,0.608,0.695,0.486,0.486,0.142,0.601,0.114,0.214,0.328,0.081,1.058,0.369,0.221,0.344,0.642,0.15,0.072,0.137
334,0.619,0.773,0.682,0.532,0.19,0.574,0.257,0.427,0.416,0.072,0.776,0.511,0.405,0.486,0.841,0.301,0.334,0.202
335,0.53,0.449,0.329,0.376,0.099,0.359,0.112,0.246,0.203,0.123,0.726,0.374,0.172,0.34,0.571,0.292,0.164,0.154
337,0.794,0.57,0.515,0.468,0.114,0.639,0.188,0.267,0.374,0.125,0.597,0.372,0.225,0.325,0.855,0.264,0.237,0.077
338,0.735,0.725,0.493,0.398,0.097,0.395,0.157,0.239,0.29,0.142,0.587,0.436,0.158,0.354,0.58,0.184,0.177,0.186
339,0.528,0.739,0.351,0.289,0.098,0.423,0.12,0.257,0.292,0.08,0.517,0.416,0.131,0.342,0.671,0.23,0.167,0.098
342,0.67,0.627,0.334,0.401,0.121,0.385,0.162,0.311,0.319,0.103,0.738,0.284,0.216,0.384,0.565,0.19,0.27,0.105
343,0.44,0.363,0.371,0.25,0.053,0.222,0.062,0.155,0.203,0.022,0.507,0.226,0.081,0.218,0.528,0.205,0.368,0.087
344,0.782,0.885,0.595,0.31,0.073,0.305,0.115,0.226,0.23,0.066,0.603,0.433,0.262,0.355,0.644,0.365,0.199,0.113
350,0.855,0.703,0.48,0.321,0.05,0.407,0.112,0.227,0.251,0.038,0.599,0.367,0.182,0.415,0.738,0.278,0.278,0.137
351,0.715,0.756,0.316,0.302,0.114,0.438,0.112,0.231,0.22,0.058,0.682,0.41,0.245,0.308,0.926,0.234,0.243,0.237
353,0.663,0.695,0.478,0.321,0.092,0.45,0.138,0.089,0.339,0.108,0.413,0.326,0.161,0.24,0.673,0.226,0.234,0.133
354,1,0.625,0.62,0.418,0.11,0.579,0.162,0.285,0.319,0.076,0.826,0.415,0.226,0.472,0.82,0.296,0.213,0.111
355,0.453,0.539,0.41,0.279,0.084,0.26,0.065,0.16,0.191,0.027,0.544,0.408,0.189,0.403,1.199,0.327,0.263,0.162
356,0.656,0.632,0.432,0.319,0.108,0.412,0.106,0.22,0.378,0.045,0.927,0.514,0.231,0.386,0.776,0.305,0.379,0.25
357,0.692,0.45,0.432,0.431,0.076,0.451,0.141,0.282,0.213,0.076,0.532,0.344,0.1,0.24,0.554,0.183,0.108,0.097
358,0.694,0.631,0.519,0.416,0.078,0.387,0.113,0.256,0.277,0.077,0.461,0.286,0.171,0.258,0.52,0.307,0.194,0.138
360,0.447,0.455,0.479,0.292,0.074,0.334,0.086,0.213,0.22,0.054,0.492,0.29,0.127,0.2,0.483,0.129,0.116,0.109
361,0.558,0.639,0.445,0.405,0.098,0.341,0.096,0.287,0.27,0.093,0.465,0.369,0.173,0.357,0.603,0.259,0.201,0.17
362,0.329,0.461,0.473,0.441,0.111,0.416,0.091,0.284,0.183,0.051,1.253,0.464,0.502,0.342,0.96,0.327,0.349,0.339
363,0.55,0.592,0.392,0.423,0.083,0.419,0.19,0.248,0.189,0.126,0.419,0.038,0.243,0.316,0.718,0.182,0.18,0.067
364,0.44,0.452,0.591,0.437,0.076,0.314,0.157,0.252,0.347,0.129,0.589,0.336,0.161,0.322,0.853,0.317,0.377,0.05
366,0.474,0.501,0.41,0.328,0.098,0.423,0.133,0.293,0.222,0.052,0.619,0.3,0.192,0.345,0.727,0.2,0.14,0.07
367,0.79,0.622,0.48,0.459,0.103,0.36,0.081,0.189,0.206,0.06,0.429,0.296,0.22,0.249,0.646,0.168,0.262,0.081
368,0.707,0.636,0.508,0.281,0.102,0.257,0.122,0.119,0.192,0.105,0.734,0.297,0.164,0.285,0.691,0.242,0.175,0.272
369,0.686,0.661,0.413,0.39,0.075,0.38,0.124,0.205,0.271,0.076,0.709,0.366,0.142,0.356,0.687,0.293,0.253,0.129
370,0.736,0.579,0.38,0.325,0.089,0.434,0.16,0.256,0.27,0.066,0.505,0.313,0.13,0.351,0.624,0.249,0.208,0.112
371,0.698,0.656,0.449,0.372,0.109,0.408,0.175,0.233,0.331,0.134,0.737,0.179,0.209,0.308,0.995,0.175,0.124,0.087
372,0.678,0.646,0.469,0.455,0.099,0.362,0.131,0.219,0.269,0.071,0.623,0.277,0.09,0.266,0.461,0.176,0.131,0.106
373,0.793,0.596,0.531,0.286,0.094,0.325,0.099,0.277,0.356,0.15,0.743,0.254,0.261,0.432,0.724,0.207,0.272,0.166
374,0.865,0.772,0.524,0.378,0.081,0.527,0.148,0.278,0.318,0.066,0.89,0.37,0.186,0.366,0.695,0.25,0.211,0.179
375,0.829,0.602,0.59,0.385,0.066,0.457,0.184,0.232,0.242,0.076,0.666,0.389,0.218,0.34,0.788,0.293,0.239,0.12
376,0.763,0.664,0.5,0.482,0.119,0.533,0.17,0.308,0.214,0.033,0.621,0.403,0.157,0.363,0.676,0.26,0.269,0.144
378,0.661,0.676,0.322,0.42,0.092,0.45,0.124,0.194,0.215,0.075,0.561,0.379,0.151,0.3,0.632,0.281,0.234,0.139
379,0.871,0.523,0.585,0.753,0.219,0.238,0.115,0.18,0.122,0.072,1.018,0.523,0.261,0.219,0.664,0.278,0.202,0.176
380,0.681,0.487,0.257,0.282,0.088,0.198,0.073,0.132,0.147,0.04,0.269,0.135,0.136,0.153,0.217,0.097,0.111,0.154
381,0.464,0.65,0.507,0.351,0.087,0.296,0.126,0.251,0.216,0.07,0.939,0.319,0.176,0.18,0.299,0.264,0.128,0.202
382,0.958,0.918,1.189,0.692,0.229,0.374,0.14,0.471,0.343,0.151,0.79,0.601,0.145,0.491,0.725,0.374,0.273,0.193
383,0.498,0.606,0.503,0.373,0.165,0.398,0.131,0.207,0.271,0.102,0.38,0.248,0.075,0.28,0.406,0.146,0.106,0.177
384,0.712,0.746,0.568,0.672,0.042,0.41,0.14,0.168,0.098,0.09,1.364,0.143,0.228,0.839,NA,0.3,0.451,0.156
385,0.695,0.555,0.463,0.286,0.07,0.526,0.092,0.22,0.3,0.095,0.724,0.4,0.152,0.441,0.763,0.311,0.214,0.052
386,0.545,0.647,0.49,0.448,0.145,0.469,0.143,0.329,0.349,0.089,0.506,0.34,0.247,0.231,0.701,0.215,0.213,0.129
387,0.519,0.56,0.56,0.377,0.104,0.448,0.145,0.318,0.306,0.057,0.545,0.287,0.139,0.346,0.484,0.251,0.213,0.085
389,0.454,0.428,0.341,0.208,0.08,0.143,0.043,0.108,0.181,0.057,0.25,0.344,0.052,0.161,0.316,0.073,0.076,0.076
390,0.46,0.445,0.442,0.198,0.051,0.275,0.082,0.157,0.099,0.036,0.668,0.154,0.15,0.129,0.33,0.15,0.126,0.129
391,0.328,0.594,NA,0.336,0.044,0.368,0.09,0.259,0.256,0.046,0.927,0.268,0.22,0.167,0.597,0.246,0.157,0.126
392,0.253,0.444,0.249,0.319,0.065,0.262,0.101,0.207,0.228,0.052,0.355,0.293,0.19,0.323,0.938,0.383,0.233,0.092
393,0.668,0.599,0.46,0.363,0.064,0.438,0.159,0.246,0.262,0.119,0.596,0.42,0.218,0.363,0.846,0.387,0.298,0.12
397,0.652,0.567,0.506,0.321,0.094,0.42,0.146,0.265,0.285,0.073,0.363,0.441,0.215,0.34,0.622,0.218,0.193,0.132
400,0.647,0.572,0.527,0.319,0.106,0.421,0.121,0.235,0.299,0.062,0.787,0.346,0.183,0.316,0.667,0.144,0.155,0.114
401,0.616,0.649,0.406,0.32,0.075,0.497,0.123,0.287,0.314,0.078,0.608,0.395,0.183,0.36,0.403,0.22,0.221,0.241
402,0.68,0.626,0.478,0.436,0.118,0.475,0.171,0.296,0.397,0.088,0.595,0.394,0.208,0.346,0.804,0.278,0.249,0.152
404,0.62,0.757,0.411,0.442,0.115,0.502,0.154,0.319,0.325,0.084,0.688,0.342,0.205,0.344,0.766,0.23,0.201,0.146
405,0.626,0.511,0.435,0.345,0.128,0.38,0.096,0.19,0.164,0.047,0.715,0.292,0.092,0.205,0.507,0.152,0.125,0.133
406,0.77,0.689,0.618,0.289,0.105,0.453,0.168,0.292,0.353,0.089,0.599,0.376,0.194,0.422,0.659,0.232,0.206,0.173
408,0.806,0.841,0.571,0.402,0.079,0.551,0.149,0.291,0.351,0.11,0.605,0.424,0.225,0.437,0.794,0.35,0.304,0.154
409,0.662,0.617,0.565,0.453,0.161,0.364,0.069,0.252,0.215,0.055,0.92,0.309,0.142,0.288,0.929,0.179,0.208,0.184
410,0.705,0.661,0.315,0.525,0.128,0.665,0.222,0.488,0.445,0.092,0.667,0.323,0.198,0.44,0.721,0.272,0.221,0.205
411,0.823,0.613,0.522,0.431,0.066,0.448,0.162,0.28,0.289,0.056,0.461,0.391,0.295,0.38,0.579,0.308,0.358,0.18
413,0.586,0.607,0.561,0.467,0.089,0.437,0.141,0.223,0.199,0.061,0.707,0.395,0.192,0.37,1.099,0.273,0.209,0.109
414,0.771,0.679,0.427,0.495,0.065,0.383,0.121,0.377,0.341,0.065,0.486,0.261,0.172,0.361,0.83,0.351,0.368,0.257
416,0.556,0.556,0.464,0.436,0.087,0.443,0.137,0.299,0.333,0.062,0.487,0.266,0.101,0.275,0.535,0.142,0.201,0.121
420,0.622,0.626,0.713,0.513,0.146,0.4,0.188,0.412,0.554,0.218,0.601,0.383,0.274,0.375,0.969,0.274,0.314,0.244
421,0.663,0.667,0.574,0.274,0.089,0.4,0.12,0.265,0.302,0.082,0.519,0.337,0.147,0.354,0.66,0.197,0.21,0.186
422,0.673,0.567,0.373,0.42,0.075,0.433,0.153,0.238,0.206,0.079,0.743,0.268,0.138,0.294,0.7,0.238,0.247,0.125
423,1.152,1.207,0.92,NA,NA,1.116,0.235,0.539,0.837,NA,0.777,0.727,0.228,0.519,1.436,0.883,0.557,0.196
425,0.906,1.804,0.84,NA,NA,0.978,0.198,0.433,0.281,0.065,0.959,0.393,0.158,0.282,0.465,0.274,0.366,0.181
427,0.684,0.604,0.265,0.282,0.09,0.363,0.149,0.243,0.222,0.134,0.415,0.199,0.124,0.236,0.421,0.147,0.118,0.036
428,0.578,0.771,0.424,0.258,0.105,0.393,0.029,0.199,0.136,0.12,1.146,0.43,0.233,0.443,NA,0.34,0.119,0.177
432,0.573,0.605,0.548,0.315,0.105,0.432,0.16,0.234,0.281,0.056,0.783,0.421,0.171,0.334,0.865,0.302,0.212,0.133
435,0.626,0.635,0.449,0.367,0.135,0.337,0.152,0.269,0.304,0.085,0.502,0.298,0.136,0.433,0.568,0.323,0.212,0.116
436,0.522,0.692,0.525,0.268,0.092,0.433,0.108,0.19,0.261,0.031,0.613,0.358,0.149,0.309,0.78,0.17,0.197,0.119
437,0.69,0.671,0.534,0.432,0.083,0.369,0.101,0.225,0.257,0.069,0.672,0.298,0.164,0.321,0.629,0.27,0.205,0.189
438,0.533,0.585,0.444,0.38,0.087,0.381,0.093,0.193,0.259,0.021,0.57,0.209,0.14,0.325,0.503,0.168,0.112,0.045
439,0.593,0.684,0.495,0.354,0.109,0.411,0.157,0.311,0.255,0.083,0.483,0.342,0.136,0.389,0.844,0.349,0.361,0.136
440,0.623,0.507,0.612,0.268,0.086,0.37,0.088,0.196,0.26,0.027,0.346,0.295,0.116,0.286,0.569,0.123,0.094,0.094
441,0.563,0.662,0.837,0.514,0.123,0.282,0.089,0.192,0.125,0.061,NA,NA,0.277,0.254,0.613,0.137,0.249,-0.08
442,0.525,0.566,0.343,0.337,0.057,0.323,0.095,0.176,0.287,0.09,0.552,0.244,0.059,0.316,0.536,0.09,0.196,0.155
446,0.738,0.57,0.45,0.309,0.106,0.544,0.094,0.303,0.33,0.121,0.7,0.349,0.159,0.423,0.938,0.245,0.163,0.159
447,0.842,0.621,0.391,0.364,0.093,0.423,0.202,0.254,0.288,0.086,0.549,0.423,0.167,0.358,0.616,0.216,0.186,0.176
449,0.515,0.646,0.558,0.402,0.11,0.391,0.171,0.221,0.264,0.095,0.452,0.29,0.144,0.355,0.641,0.229,0.317,0.077
450,0.631,0.574,0.422,0.291,0.084,0.27,0.095,0.188,0.2,0.111,0.588,0.249,0.104,0.204,0.596,0.178,0.105,0.184
451,0.595,0.561,0.48,0.294,0.116,0.455,0.151,0.282,0.252,0.103,0.526,0.353,0.203,0.369,0.623,0.214,0.209,0.16
452,0.803,0.762,0.615,0.345,0.069,0.498,0.137,0.361,0.228,0.086,0.693,0.405,0.139,0.409,0.925,0.232,0.163,0.119
453,0.72,0.957,0.458,0.443,0.119,0.572,0.175,0.433,0.38,0.06,0.708,0.528,0.244,0.33,0.917,0.256,0.253,0.117
454,0.52,0.654,0.509,0.377,0.066,0.449,0.104,0.355,0.303,0.135,0.656,0.314,0.163,0.282,0.807,0.196,0.208,0.108
456,0.607,0.555,0.459,0.337,0.08,0.395,0.133,0.227,0.226,0.056,0.541,0.218,0.137,0.317,0.802,0.204,0.198,0.036
457,0.612,0.606,0.439,0.274,0.082,0.356,0.106,0.173,0.208,0.063,0.553,0.346,0.18,0.278,0.709,0.181,0.166,0.083
459,0.794,0.683,0.716,0.47,0.105,0.538,0.198,0.358,0.416,0.074,0.547,0.341,0.187,0.402,0.735,0.312,0.299,0.174
461,0.367,0.482,0.388,0.339,0.054,0.25,0.097,0.242,0.248,0.059,0.414,0.171,0.135,0.235,0.435,0.119,0.12,0.086
462,0.499,0.533,0.4,0.365,0.091,0.403,0.092,0.217,0.301,0.124,0.567,0.326,0.114,0.282,0.488,0.175,0.216,0.076
464,0.584,0.557,0.47,0.268,0.066,0.351,0.093,0.187,0.239,0.087,0.807,0.395,0.197,0.287,0.63,0.121,0.216,0.174
465,0.654,0.611,0.633,0.28,0.08,0.359,0.103,0.21,0.347,0.057,0.719,0.386,0.164,0.355,0.497,0.185,0.115,0.189
466,0.655,0.677,0.563,0.316,0.088,0.477,0.068,0.344,0.38,0.128,0.603,0.381,0.203,0.365,0.695,0.289,0.238,0.187
467,0.587,0.633,0.602,0.399,0.095,0.437,0.12,0.323,0.374,0.057,1.178,0.319,0.146,0.362,0.909,0.28,0.259,0.147
469,0.665,0.526,0.423,0.437,0.111,0.478,0.121,0.292,0.257,0.077,0.528,0.402,0.144,0.318,0.924,0.249,0.259,0.266
470,0.62,0.417,0.323,0.321,0.051,0.341,0.108,0.137,0.297,0.071,0.446,0.254,0.126,0.997,0.725,0.217,0.214,0.102
475,0.432,0.659,0.475,0.382,0.12,0.448,0.135,0.273,0.323,0.093,0.786,0.427,0.133,0.437,0.87,0.352,0.279,0.175
476,0.78,0.843,0.863,0.383,0.106,0.741,0.167,0.316,0.323,0.075,0.797,0.655,0.195,0.453,0.959,0.387,0.392,0.256
477,0.627,0.755,0.566,0.443,0.123,0.515,0.156,0.334,0.385,0.058,0.685,0.315,0.139,0.309,0.626,0.179,0.151,0.14
478,0.982,1.483,0.817,0.823,0.059,0.817,0.206,0.381,0.393,0.216,0.987,0.682,0.302,0.4,1.002,0.298,0.294,0.276
479,0.812,0.749,0.6,0.676,0.172,0.721,0.202,0.331,0.263,0.106,0.51,0.365,0.199,0.29,0.558,0.306,0.143,0.161
480,0.846,0.572,0.497,0.415,0.07,0.541,0.151,0.324,0.309,0.077,0.576,0.467,0.193,0.373,0.692,0.233,0.277,0.102
481,0.53,0.68,0.586,0.589,0.118,0.575,0.263,0.405,0.434,0.163,0.707,0.6,0.181,0.498,1.092,0.352,0.451,0.24
482,1.789,0.775,1.08,0.305,0.213,0.129,0.283,0.238,0.452,0.121,0.709,0.444,0.197,0.502,0.87,0.34,0.362,0.402
483,0.62,0.736,0.693,0.481,0.105,0.527,0.146,0.236,0.279,0.066,0.721,0.442,0.164,0.383,0.667,0.147,0.126,0.206
485,0.509,0.73,0.656,0.385,0.088,0.491,0.131,0.28,0.338,0.074,0.661,0.37,0.157,0.389,0.884,0.199,0.282,0.114
486,0.703,0.526,0.538,0.391,0.093,0.458,0.163,0.318,0.266,0.08,0.657,0.438,0.188,0.429,0.789,0.293,0.222,0.097
487,0.392,0.284,0.325,0.336,0.092,0.19,0.095,0.18,0.15,0.019,0.435,0.135,0.109,0.094,0.498,0.077,0.107,0.066
488,0.385,0.422,0.304,0.318,0.056,0.232,0.088,0.159,0.159,0.034,0.759,0.348,0.102,0.204,0.752,0.154,0.053,0.07
489,0.391,0.42,0.506,0.253,0.09,0.192,0.076,0.079,0.062,0.015,0.609,0.282,0.096,0.242,1.016,NA,0.323,0.247
490,0.338,0.49,0.538,0.295,0.087,0.272,0.036,0.152,0.2,0.027,0.586,0.268,0.104,0.185,0.618,0.138,0.098,0.189
492,0.424,0.481,0.518,0.353,0.12,0.36,0.101,0.239,0.202,0.074,0.413,0.318,0.094,0.29,0.491,0.183,0.212,0.103
493,0.772,0.796,0.407,0.286,0.117,0.271,0.097,0.182,0.212,0.094,0.584,0.169,0.064,0.172,0.757,0.21,0.15,0.196
494,0.32,0.507,0.632,0.302,0.102,0.369,0.063,0.22,0.237,0.019,0.518,0.253,0.183,0.237,0.549,0.323,0.269,0.23
495,0.646,0.695,0.522,0.309,0.065,0.402,0.097,0.185,0.342,0.033,0.543,0.335,0.178,0.208,0.669,0.2,0.118,0.107
496,0.489,0.486,0.442,0.367,0.063,0.361,0.101,0.248,0.317,0.067,0.635,0.325,0.206,0.349,0.733,0.232,0.155,0.138
498,0.75,0.916,0.457,0.664,0.187,0.66,0.221,0.356,0.638,0.09,1.075,0.612,0.157,0.283,1.006,0.173,0.294,0.287
499,0.61,0.633,0.485,0.467,0.071,0.501,0.129,0.321,0.342,0.044,0.583,0.297,0.114,0.219,0.966,0.213,0.168,0.1
502,0.502,0.677,0.508,0.407,0.123,0.503,0.157,0.307,0.3,0.126,0.456,0.313,0.192,0.351,0.622,0.182,0.257,0.146
503,0.629,0.717,0.557,0.444,0.112,0.381,0.105,0.219,0.211,0.056,1.027,0.322,0.243,0.36,0.507,0.325,0.177,0.126
504,0.602,0.572,0.435,0.323,0.087,0.338,0.108,0.298,0.238,0.101,0.378,0.207,0.146,0.284,0.483,0.205,0.14,0.092
505,0.604,0.69,0.573,0.245,0.062,0.45,0.148,0.346,0.3,0.076,0.498,0.313,0.148,0.31,0.697,0.169,0.286,0.165
506,0.515,0.569,0.322,0.367,0.082,0.379,0.139,0.22,0.192,0.066,0.836,0.255,0.065,0.205,0.662,0.191,0.204,0.059
507,0.693,0.518,0.334,0.313,0.083,0.406,0.142,0.216,0.26,0.064,0.696,0.245,0.168,0.365,0.635,0.162,0.153,0.099
508,0.368,0.354,0.253,0.134,0.04,0.226,0.053,0.094,0.093,0.007,0.465,0.121,0.041,0.13,0.453,0.071,0.045,0.147
509,0.555,0.472,0.398,0.296,0.073,0.363,0.09,0.185,0.209,0.049,0.669,0.198,0.134,0.251,0.422,0.157,0.092,0.137
510,0.675,0.551,0.42,0.398,0.084,0.484,0.141,0.271,0.352,0.077,0.584,0.434,0.199,0.462,0.697,0.307,0.31,0.186
